raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,officer_id_hash,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,vehicle_registration_state,notes,year,month,subject_race_asian/pacific islander,subject_race_black,subject_race_hispanic,subject_race_other,subject_race_unknown,subject_race_white,subject_sex_female,subject_sex_male,violation_child restraint,violation_investigative stop,violation_moving traffic violation,violation_parking violation,violation_registration,violation_safety violation,violation_seatbelt violation,violation_vehicle equipment violation,subject_race,subject_sex,violation,stardate
2469050,2016-05-01,10:52:00,"924 CURREY RD, NASHVILLE, TN, 37217",36.1083804,-86.7085195,3.0,8831.0,315.0,52.0,37810c10d6,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2016,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2016-05-01 10:52:00
1210355,2013-02-01,17:53:00,"10TH AVE S & MONTROSE AVE, NASHVILLE, TN, 37204",36.1233934,-86.7864293,8.0,6949.0,823.0,29.0,cf72c2298a,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2013,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2013-02-01 17:53:00
412047,2011-04-01,11:35:00,"1900 HOBSON PIKE, ANTIOCH, TN, 37013",36.0462375,-86.59877329999998,3.0,8927.0,335.0,18.0,d2c8e20a5a,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2011,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,unknown,female,moving traffic violation,2011-04-01 11:35:00
2326635,2015-12-01,10:04:00,"ERIN LN & HWY 70 S, NASHVILLE, TN, 37221",36.0784068,-86.9089123,1.0,4901.0,121.0,65.0,0a70309850,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2015,12,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2015-12-01 10:04:00
1125061,2012-12-01,12:32:00,"BRILEY PKWY N & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.122074,-86.70241899999998,5.0,8998.0,531.0,20.0,83fbfcfd39,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,speed,2012,12,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,unknown,female,moving traffic violation,2012-12-01 12:32:00
2402619,2016-03-01,11:58:00,"BURTON HILLS BLVD & HILLSBORO PIKE, NASHVILLE, TN, 37215",36.0956276,-86.8253245,8.0,6403.0,825.0,62.0,b908cb6e33,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2016,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2016-03-01 11:58:00
3020378,2018-07-01,12:27:00,"JONES AVE & JONES CIR, NASHVILLE, TN, 37207",36.2088472,-86.7571339,2.0,1891.0,223.0,26.0,f586544d68,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2018,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2018-07-01 12:27:00
1678530,2014-03-01,20:02:00,"CASTLEMAN DR & HILLSBORO PIKE, NASHVILLE, TN, 37215",36.0989174,-86.821334,8.0,6403.0,825.0,41.0,3790ebbbc7,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2014,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,other,male,vehicle equipment violation,2014-03-01 20:02:00
296504,2010-12-01,19:35:00,"E TRINITY LN & GALLATIN PIKE, NASHVILLE, TN, 37216",36.2035886,-86.73849109999998,2.0,1415.0,217.0,42.0,cb792661d8,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2010,12,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,white,male,registration,2010-12-01 19:35:00
763160,2012-02-01,02:43:00,"EMMITT AVE & S GALLATIN PIKE, MADISON, TN, 37115",36.253264,-86.7167542,7.0,1623.0,711.0,35.0,0418967821,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,black,female,safety violation,2012-02-01 02:43:00
